É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2018/10/13 11:35:26

,,ï‰çÇ,ï‰çÇ,ï‰çÇ,ìåãû,ìåãû,ìåãû,ìﬂîe,ìﬂîe,ìﬂîe
2017/12/10,ì˙,9.2,8,1,13.3,8,1,22.6,8,1
2017/12/11,åé,10.8,8,1,16.0,8,1,19.9,8,1
2017/12/12,âŒ,4.4,8,1,10.3,8,1,20.7,8,1
2017/12/13,êÖ,3.7,8,1,10.4,8,1,20.0,8,1
2017/12/14,ñÿ,4.5,8,1,10.1,8,1,20.1,8,1
2017/12/15,ã‡,5.7,8,1,8.3,8,1,22.1,8,1
2017/12/16,ìy,11.9,8,1,13.3,8,1,22.9,8,1
2017/12/17,ì˙,2.3,8,1,9.3,8,1,16.5,8,1
2017/12/18,åé,6.5,8,1,9.5,8,1,18.3,8,1
2017/12/19,âŒ,7.3,8,1,12.8,8,1,17.9,8,1
2017/12/20,êÖ,5.6,8,1,9.4,8,1,18.6,8,1
2017/12/21,ñÿ,6.6,8,1,10.4,8,1,18.8,8,1
2017/12/22,ã‡,7.8,8,1,10.9,8,1,19.9,8,1
2017/12/23,ìy,9.3,8,1,13.4,8,1,21.2,8,1
2017/12/24,ì˙,9.8,8,1,10.8,8,1,25.5,8,1
2017/12/25,åé,8.4,8,1,15.0,8,1,18.6,8,1
2017/12/26,âŒ,6.2,8,1,12.6,8,1,19.3,8,1
2017/12/27,êÖ,-0.4,8,1,9.2,8,1,19.8,8,1
2017/12/28,ñÿ,3.9,8,1,9.8,8,1,20.9,8,1
2017/12/29,ã‡,5.0,8,1,10.5,8,1,20.1,8,1
2017/12/30,ìy,4.6,8,1,11.1,8,1,21.3,8,1
2017/12/31,ì˙,7.3,8,1,5.4,8,1,20.4,8,1
2018/1/1,åé,5.0,8,1,13.0,8,1,19.6,8,1
2018/1/2,âŒ,4.4,8,1,10.8,8,1,20.7,8,1
2018/1/3,êÖ,2.2,8,1,8.6,8,1,21.1,8,1
2018/1/4,ñÿ,2.4,8,1,9.6,8,1,22.2,8,1
2018/1/5,ã‡,3.0,8,1,6.3,8,1,22.3,8,1
2018/1/6,ìy,3.7,8,1,10.5,8,1,19.0,8,1
2018/1/7,ì˙,4.0,8,1,11.6,8,1,19.9,8,1
2018/1/8,åé,7.3,8,1,9.5,8,1,24.1,8,1
2018/1/9,âŒ,9.1,8,1,16.0,8,1,18.4,8,1
2018/1/10,êÖ,3.9,8,1,11.1,8,1,15.2,8,1
2018/1/11,ñÿ,1.8,8,1,10.2,8,1,14.9,8,1
2018/1/12,ã‡,2.7,8,1,7.0,8,1,14.0,8,1
2018/1/13,ìy,4.1,8,1,7.3,8,1,16.2,8,1
2018/1/14,ì˙,1.9,8,1,8.4,8,1,19.6,8,1
2018/1/15,åé,9.2,8,1,12.4,8,1,22.1,8,1
2018/1/16,âŒ,10.9,8,1,13.7,8,1,23.4,8,1
2018/1/17,êÖ,10.1,8,1,9.1,8,1,21.5,8,1
2018/1/18,ñÿ,8.5,8,1,13.7,8,1,22.8,8,1
2018/1/19,ã‡,4.7,8,1,11.2,8,1,20.5,8,1
2018/1/20,ìy,9.0,8,1,10.1,8,1,21.5,8,1
2018/1/21,ì˙,8.0,8,1,12.0,8,1,22.4,8,1
2018/1/22,åé,-0.2,8,1,5.3,8,1,20.3,8,1
2018/1/23,âŒ,4.0,8,1,10.0,8,1,20.0,8,1
2018/1/24,êÖ,-0.7,8,1,7.3,8,1,18.6,8,1
2018/1/25,ñÿ,-2.3,8,1,4.0,8,1,18.7,8,1
2018/1/26,ã‡,-1.8,8,1,5.1,8,1,15.5,8,1
2018/1/27,ìy,1.6,8,1,7.3,8,1,17.0,8,1
2018/1/28,ì˙,2.8,8,1,5.5,8,1,22.0,8,1
2018/1/29,åé,4.9,8,1,9.7,8,1,16.8,8,1
2018/1/30,âŒ,1.3,8,1,6.6,8,1,17.6,8,1
2018/1/31,êÖ,5.6,8,1,9.2,8,1,20.4,8,1
2018/2/1,ñÿ,1.0,8,1,6.3,8,1,20.4,8,1
2018/2/2,ã‡,2.9,8,1,3.8,8,1,19.1,8,1
2018/2/3,ìy,7.2,8,1,7.8,8,1,15.1,8,1
2018/2/4,ì˙,4.4,8,1,9.8,8,1,13.4,8,1
2018/2/5,åé,0.2,8,1,8.1,8,1,12.2,8,1
2018/2/6,âŒ,0.4,8,1,8.2,8,1,14.0,8,1
2018/2/7,êÖ,3.9,8,1,9.1,8,1,15.1,8,1
2018/2/8,ñÿ,2.3,8,1,9.2,8,1,16.1,8,1
2018/2/9,ã‡,4.3,8,1,9.5,8,1,20.8,8,1
2018/2/10,ìy,10.2,8,1,11.9,8,1,24.3,8,1
2018/2/11,ì˙,8.4,8,1,14.9,8,1,17.7,8,1
2018/2/12,åé,0.6,8,1,9.7,8,1,14.7,8,1
2018/2/13,âŒ,1.2,8,1,9.7,8,1,15.1,8,1
2018/2/14,êÖ,9.2,8,1,11.0,8,1,20.1,8,1
2018/2/15,ñÿ,5.8,8,1,15.1,8,1,24.4,8,1
2018/2/16,ã‡,6.0,8,1,10.0,8,1,24.7,8,1
2018/2/17,ìy,2.6,8,1,12.3,8,1,20.5,8,1
2018/2/18,ì˙,2.6,8,1,9.8,8,1,21.2,8,1
2018/2/19,åé,5.7,8,1,10.7,8,1,23.7,8,1
2018/2/20,âŒ,8.0,8,1,12.4,8,1,24.1,8,1
2018/2/21,êÖ,4.9,8,1,8.6,8,1,21.4,8,1
2018/2/22,ñÿ,6.8,8,1,5.7,8,1,19.0,8,1
2018/2/23,ã‡,8.3,8,1,8.1,8,1,19.4,8,1
2018/2/24,ìy,10.6,8,1,14.4,8,1,21.9,8,1
2018/2/25,ì˙,5.3,8,1,8.9,8,1,23.4,8,1
2018/2/26,åé,8.7,8,1,10.9,8,1,20.9,8,1
2018/2/27,âŒ,12.6,8,1,12.8,8,1,21.7,8,1
2018/2/28,êÖ,10.2,8,1,14.7,8,1,23.4,8,1
2018/3/1,ñÿ,10.8,8,1,20.3,8,1,20.4,8,1
2018/3/2,ã‡,8.9,8,1,14.4,8,1,21.8,8,1
2018/3/3,ìy,16.6,8,1,16.2,8,1,22.5,8,1
2018/3/4,ì˙,19.2,8,1,21.2,8,1,27.4,8,1
2018/3/5,åé,12.5,8,1,19.9,8,1,25.4,8,1
2018/3/6,âŒ,3.7,8,1,12.5,8,1,20.9,8,1
2018/3/7,êÖ,8.7,8,1,8.3,8,1,23.8,8,1
2018/3/8,ñÿ,3.7,8,1,9.8,8,1,20.5,8,1
2018/3/9,ã‡,5.9,8,1,17.5,8,1,17.1,8,1
2018/3/10,ìy,4.4,8,1,11.8,8,1,20.0,8,1
2018/3/11,ì˙,13.3,8,1,16.1,8,1,21.2,8,1
2018/3/12,åé,10.4,8,1,15.9,8,1,21.2,8,1
2018/3/13,âŒ,20.0,8,1,17.5,8,1,24.1,8,1
2018/3/14,êÖ,21.0,8,1,21.5,8,1,24.8,8,1
2018/3/15,ñÿ,21.9,8,1,22.1,8,1,24.4,8,1
2018/3/16,ã‡,12.6,8,1,17.5,8,1,22.1,8,1
2018/3/17,ìy,9.6,8,1,12.1,8,1,24.6,8,1
2018/3/18,ì˙,17.8,8,1,15.8,8,1,24.6,8,1
2018/3/19,åé,10.2,8,1,18.0,8,1,25.1,8,1
2018/3/20,âŒ,5.6,8,1,11.1,8,1,25.8,8,1
2018/3/21,êÖ,2.3,8,1,6.6,8,1,20.2,8,1
2018/3/22,ñÿ,9.3,8,1,14.5,8,1,18.1,8,1
2018/3/23,ã‡,11.7,8,1,18.8,8,1,18.6,8,1
2018/3/24,ìy,15.1,8,1,16.8,8,1,21.7,8,1
2018/3/25,ì˙,16.9,8,1,19.3,8,1,23.0,8,1
2018/3/26,åé,21.7,8,1,21.8,8,1,23.2,8,1
2018/3/27,âŒ,21.8,8,1,22.1,8,1,24.4,8,1
2018/3/28,êÖ,22.5,8,1,22.9,8,1,25.5,8,1
2018/3/29,ñÿ,23.2,8,1,24.2,8,1,25.4,8,1
2018/3/30,ã‡,12.7,8,1,18.4,8,1,25.5,8,1
2018/3/31,ìy,18.8,8,1,18.1,8,1,24.6,8,1
2018/4/1,ì˙,22.9,8,1,21.9,8,1,25.3,8,1
2018/4/2,åé,23.5,8,1,24.5,8,1,25.4,8,1
2018/4/3,âŒ,25.6,8,1,23.4,8,1,25.5,8,1
2018/4/4,êÖ,26.5,8,1,26.2,8,1,26.7,8,1
2018/4/5,ñÿ,18.1,8,1,15.3,8,1,26.7,8,1
2018/4/6,ã‡,21.8,8,1,22.4,8,1,26.3,8,1
2018/4/7,ìy,14.8,8,1,21.8,8,1,18.7,8,1
2018/4/8,ì˙,9.1,8,1,16.8,8,1,19.0,8,1
2018/4/9,åé,14.1,8,1,19.9,8,1,22.8,8,1
2018/4/10,âŒ,19.1,8,1,19.1,8,1,25.5,8,1
2018/4/11,êÖ,20.3,8,1,21.9,8,1,26.5,8,1
2018/4/12,ñÿ,21.8,8,1,25.9,8,1,28.1,8,1
2018/4/13,ã‡,14.9,8,1,20.9,8,1,27.9,8,1
2018/4/14,ìy,18.7,8,1,18.8,8,1,27.5,8,1
2018/4/15,ì˙,15.4,8,1,22.1,8,1,24.3,8,1
2018/4/16,åé,14.7,8,1,20.0,8,1,21.7,8,1
2018/4/17,âŒ,16.3,8,1,15.0,8,1,19.2,8,1
2018/4/18,êÖ,15.9,8,1,16.0,8,1,23.3,8,1
2018/4/19,ñÿ,24.8,8,1,22.2,8,1,26.3,8,1
2018/4/20,ã‡,21.8,8,1,26.4,8,1,24.7,8,1
2018/4/21,ìy,29.8,8,1,26.0,8,1,26.0,8,1
2018/4/22,ì˙,29.2,8,1,28.3,8,1,23.7,8,1
2018/4/23,åé,26.7,8,1,18.7,8,1,27.0,8,1
2018/4/24,âŒ,19.7,8,1,21.3,8,1,27.5,8,1
2018/4/25,êÖ,22.5,8,1,22.5,8,1,23.6,8,1
2018/4/26,ñÿ,21.4,8,1,25.0,8,1,24.0,8,1
2018/4/27,ã‡,22.0,8,1,22.0,8,1,24.7,8,1
2018/4/28,ìy,23.3,8,1,26.1,8,1,25.3,8,1
2018/4/29,ì˙,28.3,8,1,25.6,8,1,25.7,8,1
2018/4/30,åé,25.9,8,1,25.7,8,1,28.4,8,1
2018/5/1,âŒ,27.0,8,1,28.1,8,1,27.8,8,1
2018/5/2,êÖ,23.7,8,1,25.3,8,1,28.5,8,1
2018/5/3,ñÿ,25.7,8,1,27.4,8,1,23.9,8,1
2018/5/4,ã‡,16.5,8,1,23.8,8,1,25.5,8,1
2018/5/5,ìy,24.3,8,1,24.3,8,1,25.7,8,1
2018/5/6,ì˙,28.3,8,1,26.5,8,1,28.0,8,1
2018/5/7,åé,15.9,8,1,21.6,8,1,28.1,8,1
2018/5/8,âŒ,20.3,8,1,14.6,8,1,27.5,8,1
2018/5/9,êÖ,14.6,8,1,14.3,8,1,25.7,8,1
2018/5/10,ñÿ,16.4,8,1,15.8,8,1,27.7,8,1
2018/5/11,ã‡,24.0,8,1,22.4,8,1,26.6,8,1
2018/5/12,ìy,25.1,8,1,24.6,8,1,27.5,8,1
2018/5/13,ì˙,15.8,8,1,21.4,8,1,28.0,8,1
2018/5/14,åé,23.3,8,1,28.6,8,1,29.9,8,1
2018/5/15,âŒ,29.1,8,1,28.4,5,1,31.0,8,1
2018/5/16,êÖ,31.4,8,1,29.0,8,1,31.6,8,1
2018/5/17,ñÿ,27.8,8,1,28.4,8,1,30.8,8,1
2018/5/18,ã‡,32.9,8,1,27.1,8,1,30.4,8,1
2018/5/19,ìy,23.1,8,1,26.3,8,1,30.1,8,1
2018/5/20,ì˙,21.3,8,1,22.1,8,1,29.9,8,1
2018/5/21,åé,25.4,8,1,27.2,8,1,29.1,8,1
2018/5/22,âŒ,27.2,8,1,27.3,8,1,28.8,8,1
2018/5/23,êÖ,19.2,8,1,22.0,8,1,29.9,8,1
2018/5/24,ñÿ,23.6,8,1,25.7,8,1,27.2,8,1
2018/5/25,ã‡,31.9,8,1,27.1,8,1,29.2,8,1
2018/5/26,ìy,27.5,8,1,25.2,8,1,30.2,8,1
2018/5/27,ì˙,28.0,8,1,26.9,8,1,31.1,8,1
2018/5/28,åé,26.9,8,1,26.0,8,1,30.5,8,1
2018/5/29,âŒ,28.7,8,1,27.6,8,1,31.6,8,1
2018/5/30,êÖ,19.6,8,1,25.0,8,1,31.6,8,1
2018/5/31,ñÿ,19.7,8,1,22.0,8,1,31.3,8,1
2018/6/1,ã‡,22.5,8,1,27.5,8,1,26.6,8,1
2018/6/2,ìy,27.5,8,1,27.2,8,1,28.3,8,1
2018/6/3,ì˙,29.5,8,1,28.6,8,1,26.1,8,1
2018/6/4,åé,30.0,8,1,29.1,8,1,29.7,8,1
2018/6/5,âŒ,27.4,8,1,28.3,8,1,31.2,8,1
2018/6/6,êÖ,20.6,8,1,22.8,8,1,32.3,8,1
2018/6/7,ñÿ,30.2,8,1,27.3,8,1,32.2,8,1
2018/6/8,ã‡,31.7,8,1,27.5,8,1,31.6,8,1
2018/6/9,ìy,27.9,8,1,32.0,8,1,31.7,8,1
2018/6/10,ì˙,21.8,8,1,22.0,8,1,30.2,8,1
2018/6/11,åé,22.5,8,1,19.9,8,1,29.7,8,1
2018/6/12,âŒ,26.2,8,1,26.4,8,1,28.5,8,1
2018/6/13,êÖ,22.8,8,1,27.0,8,1,29.8,8,1
2018/6/14,ñÿ,26.5,5,1,25.2,8,1,28.0,8,1
2018/6/15,ã‡,20.2,8,1,20.0,8,1,29.9,8,1
2018/6/16,ìy,20.1,8,1,18.4,8,1,27.9,8,1
2018/6/17,ì˙,27.6,8,1,22.5,8,1,29.4,8,1
2018/6/18,åé,22.2,8,1,21.2,8,1,31.0,8,1
2018/6/19,âŒ,30.5,8,1,28.8,8,1,29.9,8,1
2018/6/20,êÖ,20.8,8,1,21.7,8,1,30.8,8,1
2018/6/21,ñÿ,26.0,8,1,24.4,8,1,31.3,8,1
2018/6/22,ã‡,27.9,8,1,28.1,8,1,31.0,8,1
2018/6/23,ìy,19.3,8,1,23.0,8,1,31.9,8,1
2018/6/24,ì˙,28.8,8,1,27.0,8,1,31.5,8,1
2018/6/25,åé,31.2,8,1,32.6,8,1,32.7,8,1
2018/6/26,âŒ,33.2,8,1,30.1,8,1,32.2,8,1
2018/6/27,êÖ,27.4,8,1,31.7,8,1,32.9,8,1
2018/6/28,ñÿ,30.5,8,1,31.9,8,1,32.6,8,1
2018/6/29,ã‡,28.4,8,1,32.9,8,1,32.9,8,1
2018/6/30,ìy,33.5,8,1,32.7,8,1,30.8,8,1
2018/7/1,ì˙,34.5,8,1,32.0,8,1,29.6,8,1
2018/7/2,åé,35.6,8,1,33.5,8,1,28.9,8,1
2018/7/3,âŒ,33.8,8,1,32.7,8,1,27.1,8,1
2018/7/4,êÖ,26.5,8,1,31.2,8,1,26.9,8,1
2018/7/5,ñÿ,24.1,8,1,28.7,8,1,28.1,8,1
2018/7/6,ã‡,22.6,8,1,25.0,8,1,30.1,8,1
2018/7/7,ìy,25.8,8,1,29.6,8,1,30.8,8,1
2018/7/8,ì˙,28.3,8,1,32.2,8,1,31.7,8,1
2018/7/9,åé,32.0,8,1,31.6,8,1,31.6,8,1
2018/7/10,âŒ,31.5,8,1,32.8,8,1,28.8,8,1
2018/7/11,êÖ,29.8,8,1,34.2,8,1,30.8,8,1
2018/7/12,ñÿ,30.9,8,1,30.0,8,1,31.4,8,1
2018/7/13,ã‡,31.5,8,1,33.8,8,1,31.9,8,1
2018/7/14,ìy,33.3,8,1,35.4,8,1,30.4,8,1
2018/7/15,ì˙,36.3,8,1,34.5,8,1,31.3,8,1
2018/7/16,åé,35.3,8,1,34.4,8,1,31.0,8,1
2018/7/17,âŒ,35.5,8,1,34.8,8,1,31.5,8,1
2018/7/18,êÖ,35.1,8,1,35.3,8,1,31.5,8,1
2018/7/19,ñÿ,35.5,8,1,34.8,8,1,31.9,8,1
2018/7/20,ã‡,35.7,8,1,34.2,8,1,32.4,8,1
2018/7/21,ìy,35.4,8,1,34.9,8,1,28.5,8,1
2018/7/22,ì˙,35.8,8,1,35.6,8,1,31.1,8,1
2018/7/23,åé,35.5,8,1,39.0,8,1,31.7,8,1
2018/7/24,âŒ,34.9,8,1,35.3,8,1,33.1,8,1
2018/7/25,êÖ,34.8,8,1,32.2,8,1,32.0,8,1
2018/7/26,ñÿ,34.6,8,1,30.7,8,1,32.1,8,1
2018/7/27,ã‡,33.0,8,1,28.5,8,1,31.9,8,1
2018/7/28,ìy,27.3,8,1,28.0,8,1,30.9,8,1
2018/7/29,ì˙,30.0,8,1,32.3,8,1,32.1,8,1
2018/7/30,åé,33.5,8,1,31.9,8,1,32.2,8,1
2018/7/31,âŒ,35.7,8,1,33.8,8,1,32.3,8,1
2018/8/1,êÖ,35.1,8,1,35.1,8,1,29.6,8,1
2018/8/2,ñÿ,35.3,8,1,37.3,8,1,30.1,8,1
2018/8/3,ã‡,34.7,8,1,35.4,8,1,32.4,8,1
2018/8/4,ìy,36.2,8,1,34.1,8,1,32.2,8,1
2018/8/5,ì˙,37.2,8,1,34.7,8,1,32.3,8,1
2018/8/6,åé,34.8,8,1,34.0,8,1,31.3,8,1
2018/8/7,âŒ,29.4,8,1,25.0,8,1,32.3,8,1
2018/8/8,êÖ,34.1,8,1,25.1,8,1,31.8,8,1
2018/8/9,ñÿ,34.3,8,1,32.1,8,1,31.9,8,1
2018/8/10,ã‡,35.3,8,1,34.5,8,1,32.3,8,1
2018/8/11,ìy,30.2,8,1,33.6,8,1,30.1,8,1
2018/8/12,ì˙,33.2,8,1,31.1,8,1,31.4,8,1
2018/8/13,åé,28.5,8,1,34.1,8,1,30.9,8,1
2018/8/14,âŒ,33.9,8,1,34.1,8,1,31.4,8,1
2018/8/15,êÖ,33.4,8,1,33.1,8,1,27.9,8,1
2018/8/16,ñÿ,27.9,8,1,32.3,8,1,28.1,8,1
2018/8/17,ã‡,24.4,8,1,30.0,8,1,32.0,8,1
2018/8/18,ìy,27.3,8,1,27.2,8,1,31.8,8,1
2018/8/19,ì˙,27.5,8,1,28.6,8,1,31.7,8,1
2018/8/20,åé,30.7,8,1,27.6,8,1,32.0,8,1
2018/8/21,âŒ,34.5,8,1,33.6,8,1,31.1,8,1
2018/8/22,êÖ,36.6,8,1,34.1,8,1,31.7,8,1
2018/8/23,ñÿ,34.5,8,1,33.7,8,1,32.1,8,1
2018/8/24,ã‡,31.9,8,1,31.4,8,1,32.2,8,1
2018/8/25,ìy,34.7,8,1,35.6,8,1,29.3,8,1
2018/8/26,ì˙,37.1,8,1,36.0,8,1,30.4,8,1
2018/8/27,åé,33.8,8,1,35.8,8,1,31.4,8,1
2018/8/28,âŒ,28.5,8,1,30.5,8,1,30.7,8,1
2018/8/29,êÖ,31.4,8,1,29.2,8,1,31.0,8,1
2018/8/30,ñÿ,30.0,8,1,34.0,8,1,31.9,8,1
2018/8/31,ã‡,29.8,8,1,35.4,8,1,31.8,8,1
2018/9/1,ìy,26.6,8,1,31.4,8,1,30.8,8,1
2018/9/2,ì˙,26.2,8,1,23.7,8,1,31.3,8,1
2018/9/3,åé,31.0,8,1,26.1,8,1,30.8,8,1
2018/9/4,âŒ,28.0,8,1,28.7,8,1,31.4,8,1
2018/9/5,êÖ,31.5,8,1,32.0,8,1,30.3,8,1
2018/9/6,ñÿ,29.6,8,1,31.5,8,1,31.9,8,1
2018/9/7,ã‡,27.5,8,1,30.4,8,1,31.4,8,1
2018/9/8,ìy,21.5,8,1,33.0,8,1,30.8,8,1
2018/9/9,ì˙,29.2,8,1,32.1,8,1,31.2,8,1
2018/9/10,åé,21.6,8,1,30.6,8,1,29.8,8,1
2018/9/11,âŒ,24.3,8,1,23.9,8,1,31.1,8,1
2018/9/12,êÖ,20.1,8,1,24.4,8,1,31.6,8,1
2018/9/13,ñÿ,24.5,8,1,27.3,8,1,31.9,8,1
2018/9/14,ã‡,25.1,8,1,24.9,8,1,31.5,8,1
2018/9/15,ìy,20.5,8,1,22.2,8,1,31.8,8,1
2018/9/16,ì˙,27.4,8,1,27.4,8,1,31.9,8,1
2018/9/17,åé,26.2,8,1,31.2,8,1,32.5,8,1
2018/9/18,âŒ,24.1,8,1,28.1,8,1,32.5,8,1
2018/9/19,êÖ,24.5,8,1,27.4,8,1,32.3,8,1
2018/9/20,ñÿ,18.6,8,1,24.0,8,1,32.4,8,1
2018/9/21,ã‡,18.1,8,1,19.0,8,1,32.1,8,1
2018/9/22,ìy,25.9,8,1,25.8,8,1,32.4,8,1
2018/9/23,ì˙,24.9,8,1,28.4,8,1,32.5,8,1
2018/9/24,åé,24.8,8,1,28.6,8,1,32.0,8,1
2018/9/25,âŒ,19.5,8,1,25.2,8,1,28.3,8,1
2018/9/26,êÖ,21.1,8,1,19.9,8,1,31.0,8,1
2018/9/27,ñÿ,19.2,8,1,17.5,8,1,30.6,8,1
2018/9/28,ã‡,23.0,8,1,26.0,8,1,29.5,8,1
2018/9/29,ìy,15.9,8,1,21.3,8,1,28.1,8,1
2018/9/30,ì˙,19.0,8,1,27.0,8,1,27.9,8,1
2018/10/1,åé,26.7,8,1,32.3,8,1,28.2,8,1
2018/10/2,âŒ,23.1,8,1,26.9,8,1,27.6,8,1
2018/10/3,êÖ,23.6,8,1,23.3,8,1,26.3,8,1
2018/10/4,ñÿ,19.6,8,1,21.4,8,1,27.6,8,1
2018/10/5,ã‡,24.2,8,1,20.1,8,1,25.7,8,1
2018/10/6,ìy,29.1,8,1,29.3,8,1,27.8,8,1
2018/10/7,ì˙,28.1,8,1,32.3,8,1,27.8,8,1
2018/10/8,åé,24.6,8,1,24.1,8,1,27.4,8,1
2018/10/9,âŒ,25.1,8,1,26.4,8,1,28.3,8,1
2018/10/10,êÖ,22.4,8,1,26.4,8,1,27.9,8,1
2018/10/11,ñÿ,17.6,8,1,23.7,8,1,27.2,8,1
2018/10/12,ã‡,14.9,8,1,22.5,8,1,21.0,8,1
